"project_name","scope","credits_issued"
"Whirlpool HFO Ramos 1000","Supply Chain",NA
"Whirlpool HFO Supsa 1001","Supply Chain",NA
"Doyon Ts'oo","Reforestation",NA
"Anew - Cassidy Forestry Project","Reforestation",NA
"Advanced Refrigeration - ARS2022003","Supply Chain",NA
"Challenge Tree Farm IFM Project","Reforestation",NA
"A-Gas 3-2023B","Supply Chain","79565"
"Advanced Refrigeration - ARS2022004","Supply Chain","26766"
"Green Valley Abandoned Mine Methane Recovery Project","Supply Chain",NA
"Marshall County Flare VI","Supply Chain",NA
"Zefiro Methane OOG A - Drake","Supply Chain",NA
"Tradewater ODS 54","Supply Chain","92445"
"Fielding Environmental HFC Reclamation Offset Project - 2022","Supply Chain","121144"
"NativState - Bottomland Forests of the Mississippi Backswamps and Holocene Meander Belts (PDA)","Reforestation",NA
"Neeley Forestry Services - Sustainable Forests of South-Central Arkansas","Reforestation",NA
"LandYield Northeast Family Forest IFM Project 1","Reforestation",NA
"Air Bag Gas Substitution","Supply Chain","7984006"
"Hudson Tech 2024-1","Supply Chain","83176"
"A-Gas V15","Supply Chain",NA
"Tradewater ODS 53B","Supply Chain","78611"
"Heartland Methane Abatement and Land Restoration Project 3","Supply Chain",NA
"Calabrella IFM Project","Reforestation",NA
"Green Diamond Resource Company Longbell IFM","Reforestation",NA
"Green Diamond Resource Company ORO North IFM","Reforestation",NA
"Green Diamond Resource Company ORO East IFM","Reforestation",NA
"Green Diamond Resource Company ORO South IFM","Reforestation",NA
"SPP Lost Trail IFM","Reforestation",NA
"Inland Empire Anaerobic Ag Digester","Supply Chain","44202"
"NativState - Mississippi Delta Mixed Forests (PDA)","Reforestation",NA
"Burnett County Timberlands","Reforestation",NA
"Advanced Refrigeration - ARS2022005","Supply Chain",NA
"Advanced Refrigeration - ARS2023004","Supply Chain",NA
"Advanced Refrigeration - ARS2024001","Supply Chain",NA
"Thompson Family Forest Restoration Project","Reforestation",NA
"A-Gas South Korea 4","Supply Chain",NA
"Ankotrofotsy Community-based Reforestation and Carbon Offset Project, Menabe region, Madagascar","Reforestation",NA
"Tradewater ODS 55","Supply Chain",NA
"Tradewater US - ODS - #5","Supply Chain",NA
"A-Gas 1-2024","Supply Chain",NA
"Tradewater OOG 3","Supply Chain",NA
"A-Gas ODS-VER3","Supply Chain",NA
"Green Assets – Carolina Bays and Coastal Plain Forest Conservation & Sustainable Management Project","Reforestation",NA
"Wesco HMB, Inc. HFC Reclamation Project  New Jersey 2024","Supply Chain",NA
"Summit HFC Reclaim 2022","Supply Chain",NA
"Boa Vista A/R","Reforestation","2572210"
"American Refrigerants HFC Reclamation Project - 2023","Supply Chain",NA
"CMMC2","Supply Chain",NA
"Silva Fortis","Reforestation",NA
"Rudio Mountain Forest Carbon Project","Reforestation",NA
"Silver Butte Family Forest Carbon Project","Reforestation",NA
"Moore Mill Family Forest Carbon Project","Reforestation",NA
"Brickyard LFG to Energy","Supply Chain","138492"
"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants-2024001","Supply Chain",NA
"Pocosin Ecological Reserve I","Reforestation",NA
"Weber County Landfill","Supply Chain",NA
"A-Gas V18","Supply Chain",NA
"Tradewater ODS 56","Supply Chain",NA
"Refrigerant Management Canada Ozone Depleting Substance Destruction Project - 2022","Supply Chain",NA
"Refrigerant Management Canada Ozone Depleting Substance Destruction Project - 2023","Supply Chain",NA
"Camargo Fuel Substitution","Supply Chain","1138"
"Anew – Badger Woodlands Forestry Project","Reforestation",NA
"Anew – Spruce Woods Forestry Project","Reforestation",NA
"Heartland Methane Abatement and Land Restoration Project 4","Supply Chain",NA
"NativState - Mixed and Broadleaf Forests of the Central Interior (PDA)","Reforestation",NA
"NativState - Bottomland Forests of the Lower Mississippi Valley (PDA)","Reforestation",NA
"Hudson Tech 2024-2","Supply Chain",NA
"Sparq Renewables Okmulgee Orphaned Well Restoration","Supply Chain",NA
"Chesapeake Mizer Pneumatic Retrofit","Supply Chain","541804"
"Chicago LFG to Energy","Supply Chain","62262"
"Devon Mizer Pneumatic Retrofit","Supply Chain","5724"
"Dolton LFG to Energy","Supply Chain","159336"
"Greater New Bedford LFG","Supply Chain","713162"
"GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Reforestation","7790211"
"Lower Mississippi Valley Reforestation","Reforestation","13422"
"Societe VERAMA Madagascar Afforestation Project","Reforestation",NA
"Merit Energy Geo-Seq","Supply Chain","7308664"
"Monell Geo-Seq","Supply Chain","1748409"
"North Country LFG","Supply Chain","1592397"
"Petrosource Geo-Seq","Supply Chain","2181419"
"Pike's Peak Geo-Seq","Supply Chain","2866515"
"Romeoville LFG to Energy","Supply Chain","52496"
"Salt Creek Geo-Seq","Supply Chain","7675073"
"Schneider Anti-Idling","Supply Chain","42916"
"SEESA Solar Electrification","Renewables","169"
"Seneca Meadows LFG","Supply Chain","2470626"
"Steuben County DPW LFG","Supply Chain","129180"
"Streator LFG to Energy","Supply Chain","47150"
"Tecnosol Solar Electrification","Renewables","3913"
"Truck Stop Electrification, Alabama","Supply Chain","8356"
"Truck Stop Electrification, Arizona","Supply Chain","11104"
"Truck Stop Electrification, Arkansas","Supply Chain","28069"
"Truck Stop Electrification, California","Supply Chain","21943"
"Truck Stop Electrification, Colorado","Supply Chain","3671"
"Truck Stop Electrification, Florida","Supply Chain","7348"
"Truck Stop Electrification, Georgia","Supply Chain","22220"
"Truck Stop Electrification, Illinois","Supply Chain","20531"
"Truck Stop Electrification, Indiana","Supply Chain","12150"
"Truck Stop Electrification, Kentucky","Supply Chain","4075"
"Truck Stop Electrification, Louisianna","Supply Chain","11603"
"Truck Stop Electrification, Maryland","Supply Chain","12112"
"Truck Stop Electrification, Michigan","Supply Chain","4084"
"Truck Stop Electrification, Minnesota","Supply Chain","1785"
"Truck Stop Electrification, Mississippi","Supply Chain","4185"
"Truck Stop Electrification, Missouri","Supply Chain","5375"
"Truck Stop Electrification, Nebraska","Supply Chain","3124"
"Truck Stop Electrification, New Jersey","Supply Chain","7207"
"Truck Stop Electrification, New Mexico","Supply Chain","9483"
"Truck Stop Electrification, North Carolina","Supply Chain","8488"
"Truck Stop Electrification, North Dakota","Supply Chain","1351"
"Truck Stop Electrification, Ohio","Supply Chain","28663"
"Truck Stop Electrification, Oklahoma","Supply Chain","8165"
"Truck Stop Electrification, Oregon","Supply Chain","5583"
"Truck Stop Electrification, Pennsylvania","Supply Chain","24818"
"Truck Stop Electrification, South Carolina","Supply Chain","5329"
"Truck Stop Electrification, Tennessee","Supply Chain","19418"
"Truck Stop Electrification, Texas","Supply Chain","85912"
"Truck Stop Electrification, Utah","Supply Chain","3499"
"Truck Stop Electrification, West Virginia","Supply Chain","2551"
"Tyson Wastewater Treatment","Supply Chain","100000"
"Upper Rock LFG to Energy","Supply Chain","184632"
"International Paper","Supply Chain","439035"
"Des Plaines LFG to Energy","Supply Chain","115875"
"DANC","Supply Chain","476553"
"Malhas Menegotti Industria Textil Fuel Switch","Supply Chain","253991"
"Nitrogen Oxide Abatement at the DuPont Sabine River Works Adipic Acid Facility","Supply Chain","125000"
"Angeles National Forest Carbon Demonstration Project","Reforestation",NA
"ECC ODS Destruction 2012","Supply Chain","306517"
"Nitrous Oxide Reduction in Corn","Supply Chain","2"
"EOS ARB ODS 2013-2","Supply Chain","55996"
"Round Valley Indian Tribes Improved Forest Management Project","Reforestation","513385"
"Blue Source - Bishop Improved Forest Management Project","Reforestation",NA
"DPC Domestic ODS Destruction Project #12","Supply Chain",NA
"ECC ODS Destruction 2013","Supply Chain","255227"
"Monjolinho Energética S/A Hydropower Plant Project (Alzir dos Santos Antunes)","Renewables","673609"
"EOS ARB ODS 2013-4","Supply Chain",NA
"Wabashco Clean Sweep I","Supply Chain","50600"
"EOS ARB ODS 2013-6","Supply Chain","51864"
"Hanes Ranch Forest Carbon Project","Reforestation","147136"
"D.P.C. Domestic ODS Destruction Project #12","Supply Chain","38517"
"EOS ACR 2013","Supply Chain","249025"
"Devil Fire Reforestation","Reforestation",NA
"Storrie Fire Reforestation","Reforestation",NA
"Truck Stop Electrification, BEF","Supply Chain","43549"
"Miller Forest","Reforestation","266266"
"Big Sky Dairy","Supply Chain","194151"
"MS Renovaveis Wind Power Complex: Mar e Terra, Areia Branca, Embuaca and  Icaraí","Renewables","610193"
"Green Assets-Brookgreen Gardens Improved Forest Management Project","Reforestation","202207"
"EOS ARB ODS 2013-7","Supply Chain","84418"
"EOS ARB ODS 2014-1","Supply Chain","122080"
"RR ACR 2013","Supply Chain","56124"
"San Juan National Forest Carbon Demonstration Project (II)","Reforestation",NA
"Wabashco Clean Sweep 2","Supply Chain","88044"
"Finite Carbon - The Forestland Group CT Lakes","Reforestation","2105998"
"Brush Creek","Reforestation","128377"
"Blue Source- Goodman Improved Forest Management Project","Reforestation","847890"
"2014-P5","Supply Chain",NA
"Improvements in Vehicle Efficiency for Marten Transport","Supply Chain","207509"
"Emission Reductions in California Rice Management Systems","Supply Chain","202"
"2014-P4","Supply Chain","71825"
"Improvements in Vehicle Efficiency for Crete Carrier Corp","Supply Chain","267128"
"RR ACR 2014","Supply Chain","315794"
"Finite Carbon - Weyerhaeuser Company IFM 1","Reforestation",NA
"Huron Mountain Club Forest Carbon Project","Reforestation","1234755"
"White Mountain Apache Tribe Forest Carbon Project","Reforestation","4330232"
"UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Reforestation","1387888"
"EOS ACR 213","Supply Chain","127664"
"EOS ACR 214","Supply Chain","145580"
"Wabashco Clean Sweep 3","Supply Chain","112378"
"Prairie Pothole Avoided Conversion of Grasslands and Shrublands","Reforestation","160901"
"Transformer Oil Reclamation Project","Supply Chain","378561"
"SANTOS ENERGIA WIND POWER COMPLEX: SANTO ANTÔNIO DE PÁDUA, SÃO CRISTÓVÃO AND SÃO JORGE","Renewables","468053"
"Wabashco Clean Sweep 4","Supply Chain","110003"
"Marshall County VAM Abatement Project","Supply Chain","1660307"
"RR ACR 2014 756","Supply Chain",NA
"RR ACR 2014 758","Supply Chain",NA
"RR ACR 2014 768","Supply Chain",NA
"Emission Reductions in Midsouth Rice Management Systems","Supply Chain","395"
"The Dry Creek Dairy Biofactory Project","Supply Chain","298204"
"Double A Dairy","Supply Chain","294783"
"Alliance Dairy","Supply Chain","84219"
"Synergy Biogas, LLC","Supply Chain","48409"
"Green Meadow Farm","Supply Chain","19252"
"Blue Source - Hawthorne Ten Mile Watershed Improved Forest Management Project","Reforestation",NA
