"project_name","type","credits_issued"
"SEESA Solar Electrification","Solar","169"
"Tecnosol Solar Electrification","Solar","3913"
"Monjolinho Energética S/A Hydropower Plant Project (Alzir dos Santos Antunes)","Hydropower","673609"
"MS Renovaveis Wind Power Complex: Mar e Terra, Areia Branca, Embuaca and  Icaraí","Wind","610193"
"SANTOS ENERGIA WIND POWER COMPLEX: SANTO ANTÔNIO DE PÁDUA, SÃO CRISTÓVÃO AND SÃO JORGE","Wind","468053"
"InfraVest Taiwan Wind Farms Bundled Project 2011 - Taiwan","Wind","976517"
"Degirmen Weir and Hydroelectric Power Plant","Hydropower","46673"
"SULUKOY HEPP","Hydropower",NA
"Kusakli Hydro Electric Power Plant","Hydropower",NA
"Mordogan Wind Farm Project Turkey","Wind","206679"
"Korkmaz Wind Farm Project Turkey","Wind","175144"
"Saray HEPP","Hydropower",NA
"YAZYURDU HEPP","Hydropower",NA
"Jbel Sendouq-Khalladi (""Khalladi"") wind farm project in Morocco (GS5073 CER to VER conversion)","Wind","34439"
"Dagpazari Wind Power Plant","Wind","390011"
"Şenköy Wind Power Plant","Wind",NA
"Nam Long Hydropower Project (GS2707 CER to VER conversion)","Hydropower","39680"
"8.40 MW GEMCÝLER HYDRO POWER PROJECT","Hydropower",NA
"Vaayu India Wind Power Project in Andhra Pradesh (GS4603 CER to VER conversion)","Wind","75000"
"CECIC HKC Danjinghe Wind Farm Project (GS6753 CER to VER Conversion)","Wind","20000"
"Ceará Renewable Energy Bundled Project","Biomass","505363"
"Grid Connected Wind Power Project In Maharashtra India By Bhilwara (GS3705 CER to VER Conversion)","Wind","500"
"Bogazkoy HEPP","Hydropower",NA
"Baglama Wind Power Project Turkey","Wind",NA
"Demircili WPP","Wind","149300"
"SARPINCIK WPP","Wind","114556"
"SUKENARI HPP","Hydropower",NA
"Rural Education for Development Society (REDS) Photovoltaic Lighting Project","Solar","9890"
"Run of River Small Hydro Power Plants in Peru","Hydropower",NA
